idciudad,idpais,ciudad,activo
121,1,"Roda, La",TRUE
122,1,Salobre,TRUE
123,1,San Pedro,TRUE
124,1,Socovos,TRUE
125,1,Tarazona de la Mancha,TRUE
126,1,Tobarra,TRUE
127,1,Valdeganga,TRUE
128,1,Vianos,TRUE
129,1,Villa de Ves,TRUE
130,1,Villalgordo del Júcar,TRUE
131,1,Villamalea,TRUE
132,1,Villapalacios,TRUE
133,1,Villarrobledo,TRUE
134,1,Villatoya,TRUE
135,1,Villavaliente,TRUE
136,1,Villaverde de Guadalimar,TRUE
137,1,Viveros,TRUE
138,1,Yeste,TRUE
139,1,Agost,TRUE
140,1,Agres,TRUE
141,1,Aigües,TRUE
142,1,Alacant/Alicante,TRUE
143,1,Albatera,TRUE
144,1,Alcalalí,TRUE
145,1,Alcoi/Alcoy,TRUE
146,1,Alcoleja,TRUE
147,1,Alcosser,TRUE
148,1,Alfafara,TRUE
149,1,"Alfàs del Pi, l'",TRUE
150,1,Algorfa,TRUE
151,1,Algueña,TRUE
152,1,Almoradí,TRUE
153,1,Almudaina,TRUE
154,1,"Alqueria d'Asnar, l'",TRUE
155,1,Altea,TRUE
156,1,Aspe,TRUE
157,1,"Atzúbia, l'",TRUE
158,1,Balones,TRUE
159,1,Banyeres de Mariola,TRUE
160,1,Benasau,TRUE
161,1,Beneixama,TRUE
162,1,Benejúzar,TRUE
163,1,Benferri,TRUE
164,1,Beniarbeig,TRUE
165,1,Beniardà,TRUE
166,1,Beniarrés,TRUE
167,1,Benidoleig,TRUE
168,1,Benidorm,TRUE
169,1,Benifallim,TRUE
170,1,Benifato,TRUE
171,1,Benigembla,TRUE
172,1,Benijófar,TRUE
173,1,Benilloba,TRUE
174,1,Benillup,TRUE
175,1,Benimantell,TRUE
176,1,Benimarfull,TRUE
177,1,Benimassot,TRUE
178,1,Benimeli,TRUE
179,1,Benissa,TRUE
180,1,Biar,TRUE
181,1,Bigastro,TRUE
182,1,Bolulla,TRUE
183,1,Busot,TRUE
184,1,Callosa de Segura,TRUE
185,1,Callosa d'en Sarrià,TRUE
186,1,Calp,TRUE
187,1,"Camp de Mirra, el/Campo de Mirra",TRUE
188,1,"Campello, el",TRUE
189,1,Cañada,TRUE
190,1,Castalla,TRUE
191,1,Castell de Castells,TRUE
192,1,"Castell de Guadalest, el",TRUE
193,1,Catral,TRUE
194,1,Cocentaina,TRUE
195,1,Confrides,TRUE
196,1,Cox,TRUE
197,1,Crevillent,TRUE
198,1,Daya Nueva,TRUE
199,1,Daya Vieja,TRUE
200,1,Dénia,TRUE
201,1,Dolores,TRUE
202,1,Elda,TRUE
203,1,Elx/Elche,TRUE
204,1,Fageca,TRUE
205,1,Famorca,TRUE
206,1,Finestrat,TRUE
207,1,"Fondó de les Neus, el/Hondón de las Nieves",TRUE
208,1,Formentera del Segura,TRUE
209,1,Gaianes,TRUE
210,1,Gata de Gorgos,TRUE
211,1,Gorga,TRUE
212,1,Granja de Rocamora,TRUE
213,1,Guardamar del Segura,TRUE
214,1,Hondón de los Frailes,TRUE
215,1,Ibi,TRUE
216,1,Jacarilla,TRUE
217,1,Llíber,TRUE
218,1,Millena,TRUE
219,1,Monforte del Cid,TRUE
220,1,Monòver/Monóvar,TRUE
221,1,"Montesinos, Los",TRUE
222,1,Murla,TRUE
223,1,Muro de Alcoy,TRUE
224,1,Mutxamel,TRUE
225,1,Novelda,TRUE
226,1,"Nucia, la",TRUE
227,1,Ondara,TRUE
228,1,Onil,TRUE
229,1,Orba,TRUE
230,1,Orihuela,TRUE
231,1,"Orxa, l'/Lorcha",TRUE
232,1,Orxeta,TRUE
233,1,Parcent,TRUE
234,1,Pedreguer,TRUE
235,1,Pego,TRUE
236,1,Penàguila,TRUE
237,1,Petrer,TRUE
238,1,Pilar de la Horadada,TRUE
239,1,"Pinós, el/Pinoso",TRUE
240,1,Planes,TRUE
241,1,"Poble Nou de Benitatxell, el/Benitachell",TRUE
242,1,"Poblets, els",TRUE
243,1,Polop,TRUE
244,1,Quatretondeta,TRUE
245,1,Rafal,TRUE
246,1,"Ràfol d'Almúnia, el",TRUE
247,1,Redován,TRUE
248,1,Relleu,TRUE
249,1,Rojales,TRUE
250,1,"Romana, la",TRUE
251,1,Sagra,TRUE
252,1,Salinas,TRUE
253,1,San Fulgencio,TRUE
254,1,San Isidro,TRUE
255,1,San Miguel de Salinas,TRUE
256,1,Sanet y Negrals,TRUE
257,1,Sant Joan d'Alacant,TRUE
258,1,Sant Vicent del Raspeig/San Vicente del Raspeig,TRUE
259,1,Santa Pola,TRUE
260,1,Sax,TRUE
261,1,Sella,TRUE
262,1,Senija,TRUE
263,1,Tàrbena,TRUE
264,1,Teulada,TRUE
265,1,Tibi,TRUE
266,1,Tollos,TRUE
267,1,Tormos,TRUE
268,1,"Torre de les Maçanes, la/Torremanzanas",TRUE
269,1,Torrevieja,TRUE
270,1,"Vall d'Alcalà, la",TRUE
271,1,"Vall de Gallinera, la",TRUE
272,1,"Vall de Laguar, la",TRUE
273,1,"Vall d'Ebo, la",TRUE
274,1,"Verger, el",TRUE
275,1,"Vila Joiosa, la/Villajoyosa",TRUE
276,1,Villena,TRUE
277,1,Xàbia/Jávea,TRUE
278,1,Xaló,TRUE
279,1,Xixona/Jijona,TRUE
280,1,Abla,TRUE
281,1,Abrucena,TRUE
282,1,Adra,TRUE
283,1,Albanchez,TRUE
284,1,Alboloduy,TRUE
285,1,Albox,TRUE
286,1,Alcolea,TRUE
287,1,Alcóntar,TRUE
288,1,Alcudia de Monteagud,TRUE
289,1,Alhabia,TRUE
290,1,Alhama de Almería,TRUE
291,1,Alicún,TRUE
292,1,Almería,TRUE
293,1,Almócita,TRUE
294,1,Alsodux,TRUE
295,1,Antas,TRUE
296,1,Arboleas,TRUE
297,1,Armuña de Almanzora,TRUE
298,1,Bacares,TRUE
299,1,Balanegra,TRUE
300,1,Bayárcal,TRUE
301,1,Bayarque,TRUE
302,1,Bédar,TRUE
303,1,Beires,TRUE
304,1,Benahadux,TRUE
305,1,Benitagla,TRUE
306,1,Benizalón,TRUE
307,1,Bentarique,TRUE
308,1,Berja,TRUE
309,1,Canjáyar,TRUE
310,1,Cantoria,TRUE
311,1,Carboneras,TRUE
312,1,Castro de Filabres,TRUE
313,1,Chercos,TRUE
314,1,Chirivel,TRUE
315,1,Cóbdar,TRUE
316,1,Cuevas del Almanzora,TRUE
317,1,Dalías,TRUE
318,1,"Ejido, El",TRUE
319,1,Enix,TRUE
320,1,Felix,TRUE
321,1,Fines,TRUE
322,1,Fiñana,TRUE
323,1,Fondón,TRUE
324,1,Gádor,TRUE
325,1,"Gallardos, Los",TRUE
326,1,Garrucha,TRUE
327,1,Gérgal,TRUE
328,1,Huécija,TRUE
329,1,Huércal de Almería,TRUE
330,1,Huércal-Overa,TRUE
331,1,Íllar,TRUE
332,1,Instinción,TRUE
333,1,Laroya,TRUE
334,1,Laujar de Andarax,TRUE
335,1,Líjar,TRUE
336,1,Lubrín,TRUE
337,1,Lucainena de las Torres,TRUE
338,1,Lúcar,TRUE
339,1,Macael,TRUE
340,1,María,TRUE
341,1,Mojácar,TRUE
342,1,"Mojonera, La",TRUE
343,1,Nacimiento,TRUE
344,1,Níjar,TRUE
345,1,Ohanes,TRUE
346,1,Olula de Castro,TRUE
347,1,Olula del Río,TRUE
348,1,Oria,TRUE
349,1,Padules,TRUE
350,1,Partaloa,TRUE
351,1,Paterna del Río,TRUE
352,1,Pechina,TRUE
353,1,Pulpí,TRUE
354,1,Purchena,TRUE
355,1,Rágol,TRUE
356,1,Rioja,TRUE
357,1,Roquetas de Mar,TRUE
358,1,Santa Cruz de Marchena,TRUE
359,1,Santa Fe de Mondújar,TRUE
360,1,Senés,TRUE
361,1,Serón,TRUE
362,1,Sierro,TRUE
363,1,Somontín,TRUE
364,1,Sorbas,TRUE
365,1,Suflí,TRUE
366,1,Tabernas,TRUE
367,1,Taberno,TRUE
368,1,Tahal,TRUE
369,1,Terque,TRUE
370,1,Tíjola,TRUE
371,1,"Tres Villas, Las",TRUE
372,1,Turre,TRUE
373,1,Turrillas,TRUE
374,1,Uleila del Campo,TRUE
375,1,Urrácal,TRUE
376,1,Velefique,TRUE
377,1,Vélez-Blanco,TRUE
378,1,Vélez-Rubio,TRUE
379,1,Vera,TRUE
380,1,Viator,TRUE
381,1,Vícar,TRUE
382,1,Zurgena,TRUE
383,1,Adanero,TRUE
384,1,"Adrada, La",TRUE
385,1,Albornos,TRUE
386,1,Aldeanueva de Santa Cruz,TRUE
387,1,Aldeaseca,TRUE
388,1,"Aldehuela, La",TRUE
389,1,Amavida,TRUE
390,1,"Arenal, El",TRUE
391,1,Arenas de San Pedro,TRUE
392,1,Arevalillo,TRUE
393,1,Arévalo,TRUE
394,1,Aveinte,TRUE
395,1,Avellaneda,TRUE
396,1,Ávila,TRUE
397,1,"Barco de Ávila, El",TRUE
398,1,"Barraco, El",TRUE
399,1,Barromán,TRUE
400,1,Becedas,TRUE
401,1,Becedillas,TRUE
402,1,Bercial de Zapardiel,TRUE
403,1,"Berlanas, Las",TRUE
404,1,Bernuy-Zapardiel,TRUE
405,1,Berrocalejo de Aragona,TRUE
406,1,Blascomillán,TRUE
407,1,Blasconuño de Matacabras,TRUE
408,1,Blascosancho,TRUE
409,1,"Bohodón, El",TRUE
410,1,Bohoyo,TRUE
411,1,Bonilla de la Sierra,TRUE
412,1,Brabos,TRUE
413,1,Bularros,TRUE
414,1,Burgohondo,TRUE
415,1,Cabezas de Alambre,TRUE
416,1,Cabezas del Pozo,TRUE
417,1,Cabezas del Villar,TRUE
418,1,Cabizuela,TRUE
419,1,Canales,TRUE
420,1,Candeleda,TRUE
421,1,Cantiveros,TRUE
422,1,Cardeñosa,TRUE
423,1,"Carrera, La",TRUE
424,1,Casas del Puerto,TRUE
425,1,Casasola,TRUE
426,1,Casavieja,TRUE
427,1,Casillas,TRUE
428,1,Castellanos de Zapardiel,TRUE
429,1,Cebreros,TRUE
430,1,Cepeda la Mora,TRUE
431,1,Chamartín,TRUE
432,1,Cillán,TRUE
433,1,Cisla,TRUE
434,1,"Colilla, La",TRUE
435,1,Collado de Contreras,TRUE
436,1,Collado del Mirón,TRUE
437,1,Constanzana,TRUE
438,1,Crespos,TRUE
439,1,Cuevas del Valle,TRUE
440,1,Diego del Carpio,TRUE
441,1,Donjimeno,TRUE
442,1,Donvidas,TRUE
443,1,Espinosa de los Caballeros,TRUE
444,1,Flores de Ávila,TRUE
445,1,Fontiveros,TRUE
446,1,Fresnedilla,TRUE
447,1,"Fresno, El",TRUE
448,1,Fuente el Saúz,TRUE
449,1,Fuentes de Año,TRUE
450,1,Gallegos de Altamiros,TRUE
451,1,Gallegos de Sobrinos,TRUE
452,1,Garganta del Villar,TRUE
453,1,Gavilanes,TRUE
454,1,Gemuño,TRUE
455,1,Gil García,TRUE
456,1,Gilbuena,TRUE
457,1,Gimialcón,TRUE
458,1,Gotarrendura,TRUE
459,1,Grandes y San Martín,TRUE
460,1,Guisando,TRUE
461,1,Gutierre-Muñoz,TRUE
462,1,Hernansancho,TRUE
463,1,Herradón de Pinares,TRUE
464,1,Herreros de Suso,TRUE
465,1,Higuera de las Dueñas,TRUE
466,1,"Hija de Dios, La",TRUE
467,1,"Horcajada, La",TRUE
468,1,Horcajo de las Torres,TRUE
469,1,"Hornillo, El",TRUE
470,1,"Hoyo de Pinares, El",TRUE
471,1,Hoyocasero,TRUE
472,1,Hoyorredondo,TRUE
473,1,Hoyos de Miguel Muñoz,TRUE
474,1,Hoyos del Collado,TRUE
475,1,Hoyos del Espino,TRUE
476,1,Hurtumpascual,TRUE
477,1,Junciana,TRUE
478,1,Langa,TRUE
479,1,Lanzahíta,TRUE
480,1,"Llanos de Tormes, Los",TRUE
481,1,"Losar del Barco, El",TRUE
482,1,Madrigal de las Altas Torres,TRUE
483,1,Maello,TRUE
484,1,Malpartida de Corneja,TRUE
485,1,Mamblas,TRUE
486,1,Mancera de Arriba,TRUE
487,1,Manjabálago y Ortigosa de Rioalmar,TRUE
488,1,Marlín,TRUE
489,1,Martiherrero,TRUE
490,1,Martínez,TRUE
491,1,Mediana de Voltoya,TRUE
492,1,Medinilla,TRUE
493,1,Mengamuñoz,TRUE
494,1,Mesegar de Corneja,TRUE
495,1,Mijares,TRUE
496,1,Mingorría,TRUE
497,1,"Mirón, El",TRUE
498,1,Mironcillo,TRUE
499,1,Mirueña de los Infanzones,TRUE
500,1,Mombeltrán,TRUE
501,1,Monsalupe,TRUE
502,1,Moraleja de Matacabras,TRUE
503,1,Muñana,TRUE
504,1,Muñico,TRUE
505,1,Muñogalindo,TRUE
506,1,Muñogrande,TRUE
507,1,Muñomer del Peco,TRUE
508,1,Muñopepe,TRUE
509,1,Muñosancho,TRUE
510,1,Muñotello,TRUE
511,1,Narrillos del Álamo,TRUE
512,1,Narrillos del Rebollar,TRUE
513,1,Narros de Saldueña,TRUE
514,1,Narros del Castillo,TRUE
515,1,Narros del Puerto,TRUE
516,1,Nava de Arévalo,TRUE
517,1,Nava del Barco,TRUE
518,1,Navacepedilla de Corneja,TRUE
519,1,Navadijos,TRUE
520,1,Navaescurial,TRUE
521,1,Navahondilla,TRUE
522,1,Navalacruz,TRUE
523,1,Navalmoral,TRUE
524,1,Navalonguilla,TRUE
525,1,Navalosa,TRUE
526,1,Navalperal de Pinares,TRUE
527,1,Navalperal de Tormes,TRUE
528,1,Navaluenga,TRUE
529,1,Navaquesera,TRUE
530,1,Navarredonda de Gredos,TRUE
531,1,Navarredondilla,TRUE
532,1,Navarrevisca,TRUE
533,1,"Navas del Marqués, Las",TRUE
534,1,Navatalgordo,TRUE
535,1,Navatejares,TRUE
536,1,Neila de San Miguel,TRUE
537,1,Niharra,TRUE
538,1,Ojos-Albos,TRUE
539,1,Orbita,TRUE
540,1,"Oso, El",TRUE
541,1,Padiernos,TRUE
542,1,Pajares de Adaja,TRUE
543,1,Palacios de Goda,TRUE
544,1,Papatrigo,TRUE
545,1,"Parral, El",TRUE
546,1,Pascualcobo,TRUE
547,1,Pedro Bernardo,TRUE
548,1,Pedro-Rodríguez,TRUE
549,1,Peguerinos,TRUE
550,1,Peñalba de Ávila,TRUE
551,1,Piedrahíta,TRUE
552,1,Piedralaves,TRUE
553,1,Poveda,TRUE
554,1,Poyales del Hoyo,TRUE
555,1,Pozanco,TRUE
556,1,Pradosegar,TRUE
557,1,Puerto Castilla,TRUE
558,1,Rasueros,TRUE
559,1,Riocabado,TRUE
560,1,Riofrío,TRUE
561,1,Rivilla de Barajas,TRUE
562,1,Salobral,TRUE
563,1,Salvadiós,TRUE
564,1,San Bartolomé de Béjar,TRUE
565,1,San Bartolomé de Corneja,TRUE
566,1,San Bartolomé de Pinares,TRUE
567,1,San Esteban de los Patos,TRUE
568,1,San Esteban de Zapardiel,TRUE
569,1,San Esteban del Valle,TRUE
570,1,San García de Ingelmos,TRUE
571,1,San Juan de Gredos,TRUE
572,1,San Juan de la Encinilla,TRUE
573,1,San Juan de la Nava,TRUE
574,1,San Juan del Molinillo,TRUE
575,1,San Juan del Olmo,TRUE
576,1,San Lorenzo de Tormes,TRUE
577,1,San Martín de la Vega del Alberche,TRUE
578,1,San Martín del Pimpollar,TRUE
579,1,San Miguel de Corneja,TRUE
580,1,San Miguel de Serrezuela,TRUE
581,1,San Pascual,TRUE
582,1,San Pedro del Arroyo,TRUE
583,1,San Vicente de Arévalo,TRUE
584,1,Sanchidrián,TRUE
585,1,Sanchorreja,TRUE
586,1,Santa Cruz de Pinares,TRUE
587,1,Santa Cruz del Valle,TRUE
588,1,Santa María de los Caballeros,TRUE
589,1,Santa María del Arroyo,TRUE
590,1,Santa María del Berrocal,TRUE
591,1,Santa María del Cubillo,TRUE
592,1,Santa María del Tiétar,TRUE
593,1,Santiago del Collado,TRUE
594,1,Santiago del Tormes,TRUE
595,1,Santo Domingo de las Posadas,TRUE
596,1,Santo Tomé de Zabarcos,TRUE
597,1,"Serrada, La",TRUE
598,1,Serranillos,TRUE
599,1,Sigeres,TRUE
600,1,Sinlabajos,TRUE
601,1,Solana de Ávila,TRUE
602,1,Solana de Rioalmar,TRUE
603,1,Solosancho,TRUE
604,1,Sotalbo,TRUE
605,1,Sotillo de la Adrada,TRUE
606,1,"Tiemblo, El",TRUE
607,1,Tiñosillos,TRUE
608,1,Tolbaños,TRUE
609,1,Tormellas,TRUE
610,1,Tornadizos de Ávila,TRUE
611,1,"Torre, La",TRUE
612,1,Tórtoles,TRUE
613,1,Umbrías,TRUE
614,1,Vadillo de la Sierra,TRUE
615,1,Valdecasa,TRUE
616,1,Vega de Santa María,TRUE
617,1,Velayos,TRUE
618,1,Villaflor,TRUE
619,1,Villafranca de la Sierra,TRUE
620,1,Villanueva de Ávila,TRUE
621,1,Villanueva de Gómez,TRUE
622,1,Villanueva del Aceral,TRUE
623,1,Villanueva del Campillo,TRUE
624,1,Villar de Corneja,TRUE
625,1,Villarejo del Valle,TRUE
626,1,Villatoro,TRUE
627,1,Viñegra de Moraña,TRUE
628,1,Vita,TRUE
629,1,Zapardiel de la Cañada,TRUE
630,1,Zapardiel de la Ribera,TRUE
631,1,Acedera,TRUE
632,1,Aceuchal,TRUE
633,1,Ahillones,TRUE
634,1,Alange,TRUE
635,1,"Albuera, La",TRUE
636,1,Alburquerque,TRUE
637,1,Alconchel,TRUE
638,1,Alconera,TRUE
639,1,Aljucén,TRUE
640,1,Almendral,TRUE
641,1,Almendralejo,TRUE
642,1,Arroyo de San Serván,TRUE
643,1,Atalaya,TRUE
644,1,Azuaga,TRUE
645,1,Badajoz,TRUE
646,1,Barcarrota,TRUE
647,1,Baterno,TRUE
648,1,Benquerencia de la Serena,TRUE
649,1,Berlanga,TRUE
650,1,Bienvenida,TRUE
651,1,Bodonal de la Sierra,TRUE
652,1,Burguillos del Cerro,TRUE
653,1,Cabeza del Buey,TRUE
654,1,Cabeza la Vaca,TRUE
655,1,Calamonte,TRUE
656,1,Calera de León,TRUE
657,1,Calzadilla de los Barros,TRUE
658,1,Campanario,TRUE
659,1,Campillo de Llerena,TRUE
660,1,Capilla,TRUE
661,1,Carmonita,TRUE
662,1,"Carrascalejo, El",TRUE
663,1,Casas de Don Pedro,TRUE
664,1,Casas de Reina,TRUE
665,1,Castilblanco,TRUE
666,1,Castuera,TRUE
667,1,Cheles,TRUE
668,1,"Codosera, La",TRUE
669,1,Cordobilla de Lácara,TRUE
670,1,"Coronada, La",TRUE
671,1,Corte de Peleas,TRUE
672,1,Cristina,TRUE
673,1,Don Álvaro,TRUE
674,1,Don Benito,TRUE
675,1,Entrín Bajo,TRUE
676,1,Esparragalejo,TRUE
677,1,Esparragosa de la Serena,TRUE
678,1,Esparragosa de Lares,TRUE
679,1,Feria,TRUE
680,1,Fregenal de la Sierra,TRUE
681,1,Fuenlabrada de los Montes,TRUE
682,1,Fuente de Cantos,TRUE
683,1,Fuente del Arco,TRUE
684,1,Fuente del Maestre,TRUE
685,1,Fuentes de León,TRUE
686,1,Garbayuela,TRUE
687,1,Garlitos,TRUE
688,1,"Garrovilla, La",TRUE
689,1,Granja de Torrehermosa,TRUE
690,1,Guadiana,TRUE
691,1,Guareña,TRUE
692,1,"Haba, La",TRUE
693,1,Helechosa de los Montes,TRUE
694,1,Herrera del Duque,TRUE
695,1,Higuera de la Serena,TRUE
696,1,Higuera de Llerena,TRUE
697,1,Higuera de Vargas,TRUE
698,1,Higuera la Real,TRUE
699,1,Hinojosa del Valle,TRUE
700,1,Hornachos,TRUE
701,1,Jerez de los Caballeros,TRUE
702,1,"Lapa, La",TRUE
703,1,Llera,TRUE
704,1,Llerena,TRUE
705,1,Lobón,TRUE
706,1,Magacela,TRUE
707,1,Maguilla,TRUE
708,1,Malcocinado,TRUE
709,1,Malpartida de la Serena,TRUE
710,1,Manchita,TRUE
711,1,Medellín,TRUE
712,1,Medina de las Torres,TRUE
713,1,Mengabril,TRUE
714,1,Mérida,TRUE
715,1,Mirandilla,TRUE
716,1,Monesterio,TRUE
717,1,Montemolín,TRUE
718,1,Monterrubio de la Serena,TRUE
719,1,Montijo,TRUE
720,1,"Morera, La",TRUE
721,1,"Nava de Santiago, La",TRUE
722,1,Navalvillar de Pela,TRUE
723,1,Nogales,TRUE
724,1,Oliva de la Frontera,TRUE
725,1,Oliva de Mérida,TRUE
726,1,Olivenza,TRUE
727,1,Orellana de la Sierra,TRUE
728,1,Orellana la Vieja,TRUE
729,1,Palomas,TRUE
730,1,"Parra, La",TRUE
731,1,Peñalsordo,TRUE
732,1,Peraleda del Zaucejo,TRUE
733,1,Puebla de Alcocer,TRUE
734,1,Puebla de la Calzada,TRUE
735,1,Puebla de la Reina,TRUE
736,1,Puebla de Obando,TRUE
737,1,Puebla de Sancho Pérez,TRUE
738,1,Puebla del Maestre,TRUE
739,1,Puebla del Prior,TRUE
740,1,Pueblonuevo del Guadiana,TRUE
741,1,Quintana de la Serena,TRUE
742,1,Reina,TRUE
743,1,Rena,TRUE
744,1,Retamal de Llerena,TRUE
745,1,Ribera del Fresno,TRUE
746,1,Risco,TRUE
747,1,"Roca de la Sierra, La",TRUE
748,1,Salvaleón,TRUE
749,1,Salvatierra de los Barros,TRUE
750,1,San Pedro de Mérida,TRUE
751,1,San Vicente de Alcántara,TRUE
752,1,Sancti-Spíritus,TRUE
753,1,Santa Amalia,TRUE
754,1,Santa Marta,TRUE
755,1,"Santos de Maimona, Los",TRUE
756,1,Segura de León,TRUE
757,1,Siruela,TRUE
758,1,Solana de los Barros,TRUE
759,1,Talarrubias,TRUE
760,1,Talavera la Real,TRUE
761,1,Táliga,TRUE
762,1,Tamurejo,TRUE
763,1,Torre de Miguel Sesmero,TRUE
764,1,Torremayor,TRUE
765,1,Torremejía,TRUE
766,1,Trasierra,TRUE
767,1,Trujillanos,TRUE
768,1,Usagre,TRUE
769,1,Valdecaballeros,TRUE
770,1,Valdelacalzada,TRUE
771,1,Valdetorres,TRUE
772,1,Valencia de las Torres,TRUE
773,1,Valencia del Mombuey,TRUE
774,1,Valencia del Ventoso,TRUE
775,1,Valle de la Serena,TRUE
776,1,Valle de Matamoros,TRUE
777,1,Valle de Santa Ana,TRUE
778,1,Valverde de Burguillos,TRUE
779,1,Valverde de Leganés,TRUE
780,1,Valverde de Llerena,TRUE
781,1,Valverde de Mérida,TRUE
782,1,Villafranca de los Barros,TRUE
783,1,Villagarcía de la Torre,TRUE
784,1,Villagonzalo,TRUE
785,1,Villalba de los Barros,TRUE
786,1,Villanueva de la Serena,TRUE
787,1,Villanueva del Fresno,TRUE
788,1,Villar de Rena,TRUE
789,1,Villar del Rey,TRUE
790,1,Villarta de los Montes,TRUE
791,1,Zafra,TRUE
792,1,Zahínos,TRUE
793,1,Zalamea de la Serena,TRUE
794,1,"Zarza, La",TRUE
795,1,Zarza-Capilla,TRUE
796,1,Alaior,TRUE
797,1,Alaró,TRUE
798,1,Alcúdia,TRUE
799,1,Algaida,TRUE
800,1,Andratx,TRUE
801,1,Ariany,TRUE
802,1,Artà,TRUE
803,1,Banyalbufar,TRUE
804,1,Binissalem,TRUE
805,1,Búger,TRUE
806,1,Bunyola,TRUE
807,1,Calvià,TRUE
808,1,Campanet,TRUE
809,1,Campos,TRUE
810,1,Capdepera,TRUE
811,1,"Castell, Es",TRUE
812,1,Ciutadella de Menorca,TRUE
813,1,Consell,TRUE
814,1,Costitx,TRUE
815,1,Deià,TRUE
816,1,Eivissa,TRUE
817,1,Escorca,TRUE
818,1,Esporles,TRUE
819,1,Estellencs,TRUE
820,1,Felanitx,TRUE
821,1,Ferreries,TRUE
822,1,Formentera,TRUE
823,1,Fornalutx,TRUE
